Date,NoOfCases
2022-04-17,1432
2022-04-18,1638
2022-04-19,2362
2022-04-20,2944
2022-04-21,3661
2022-04-22,4224
2022-04-23,5055
2022-04-24,5538
2022-04-25,6797
2022-04-26,8912
2022-04-27,11480
2022-04-28,12087
2022-04-29,15264
2022-04-30,17132
2022-05-01,18377
2022-05-02,22610
2022-05-03,28342
2022-05-04,30007
2022-05-05,36101
2022-05-06,44403
2022-05-07,44241
2022-05-08,40275
2022-05-09,38813
2022-05-10,69082
2022-05-11,65446
2022-05-12,64981
2022-05-13,63877
2022-05-14,68721
2022-05-15,61717
2022-05-16,65601
2022-05-17,84169
2022-05-18,90949
2022-05-19,85308
2022-05-20,84595
2022-05-21,79446
2022-05-22,66190
2022-05-23,82636
2022-05-24,89410
2022-05-25,81882
2022-05-26,94150
2022-05-27,80799
2022-05-28,76551
2022-05-29,60060
2022-05-30,80653
2022-05-31,88206
2022-06-01,76783
2022-06-02,76515
2022-06-03,68104
2022-06-04,62079
2022-06-05,52990
2022-06-06,82958
2022-06-07,80160
2022-06-08,72922
2022-06-09,68314
2022-06-10,52604
2022-06-11,77566
2022-06-12,45085
2022-06-13,66158
2022-06-14,68933
2022-06-15,63184
2022-06-16,55238
2022-06-17,53666
2022-06-18,50615
2022-06-19,35620
2022-06-20,56378
2022-06-21,52223
2022-06-22,48326
2022-06-23,45741
2022-06-24,40382
2022-06-25,39638
2022-06-26,28568
2022-06-27,44404
2022-06-28,42186
2022-06-29,38918
2022-06-30,35775
2022-07-01,34804
2022-07-02,32686
2022-07-03,23107
2022-07-04,36003
2022-07-05,34556
2022-07-06,31442
2022-07-07,30459
2022-07-08,28114
2022-07-09,27838
2022-07-10,19116
2022-07-11,31262
2022-07-12,29892
2022-07-13,27665
2022-07-14,25278
2022-07-15,25278
2022-07-16,24195
2022-07-17,18105
2022-07-18,27115
2022-07-19,27164
2022-07-20,25151
2022-07-21,24079
2022-07-22,22580
2022-07-23,21718
2022-07-24,17122
2022-07-25,25052
2022-07-26,25675
2022-07-27,23947
2022-07-28,23259
2022-07-29,21481
2022-07-30,21060
2022-07-31,16582
2022-08-01,23537
