,Date,Temp(C),MaxTemp(C),MinTemp(C),RangeTemp(C),SurfaceTemp(C)
0,20100101,2.69,4.69,1.27,3.42,0.65
1,20100102,-2.13,1.79,-6.77,8.56,-3.61
2,20100103,-5.5,-4.21,-6.76,2.55,-7.5
3,20100104,-3.08,-0.22,-4.72,4.5,-4.97
4,20100105,-2.77,-0.01,-4.7,4.69,-4.44
5,20100106,-1.38,1.46,-3.1,4.56,-3.31
6,20100107,0.46,3.33,-1.68,5.01,-2.05
7,20100108,-0.6,1.12,-4.0,5.12,-2.14
8,20100109,-3.74,-0.55,-6.32,5.77,-5.8
9,20100110,-4.58,-1.19,-7.59,6.4,-7.06
10,20100111,-2.23,-0.17,-4.71,4.54,-4.67
11,20100112,-1.11,1.78,-3.99,5.77,-3.29
12,20100113,-1.11,1.85,-4.27,6.12,-3.1
13,20100114,1.01,3.57,-1.85,5.42,-1.41
14,20100115,3.14,5.91,1.18,4.73,0.05
15,20100116,3.59,6.6,1.54,5.06,0.25
16,20100117,3.6,4.69,2.48,2.21,1.25
17,20100118,4.05,6.92,2.5,4.42,2.17
18,20100119,4.47,6.32,1.95,4.37,1.83
19,20100120,2.14,4.47,0.71,3.76,-0.33
20,20100121,1.71,3.73,-0.22,3.95,-0.47
21,20100122,2.35,4.11,0.67,3.44,-0.39
22,20100123,0.97,2.9,-1.17,4.07,-1.44
23,20100124,4.95,7.2,1.79,5.41,2.7
24,20100125,8.93,12.08,5.68,6.4,8.68
25,20100126,3.73,5.65,0.74,4.91,1.93
26,20100127,1.24,3.34,-0.39,3.73,-0.67
27,20100128,1.71,6.22,-4.37,10.59,-0.17
28,20100129,-5.0,-3.83,-6.1,2.27,-5.61
29,20100130,-6.01,-4.54,-7.43,2.89,-6.95
30,20100131,-3.97,-1.17,-6.94,5.77,-4.83
31,20100201,-1.28,1.62,-3.68,5.3,-2.74
32,20100202,-0.72,1.05,-2.95,4.0,-2.57
33,20100203,1.0,2.79,-0.07,2.86,-0.46
34,20100204,0.35,2.11,-1.4,3.51,-1.15
35,20100205,0.23,1.62,-1.75,3.37,-1.74
36,20100206,-2.23,0.72,-4.95,5.67,-3.68
37,20100207,-3.52,1.15,-6.99,8.14,-5.32
38,20100208,-1.79,1.93,-4.8,6.73,-4.03
39,20100209,0.02,3.04,-3.31,6.35,-1.72
40,20100210,1.0,1.38,0.27,1.11,-0.16
41,20100211,-0.28,1.54,-3.07,4.61,-2.63
42,20100212,-2.14,1.35,-5.03,6.38,-6.89
43,20100213,-2.3,-0.32,-4.4,4.08,-5.1
44,20100214,-0.54,2.24,-3.2,5.44,-2.8
45,20100215,-0.06,2.18,-2.87,5.05,-2.16
46,20100216,0.6,1.67,-1.02,2.69,-0.84
47,20100217,-0.45,1.37,-3.11,4.48,-2.23
48,20100218,1.55,4.08,-0.57,4.65,-0.57
49,20100219,2.54,5.15,0.46,4.69,0.53
50,20100220,2.8,6.03,0.85,5.18,1.14
51,20100221,2.2,5.59,-0.06,5.65,0.53
52,20100222,1.48,3.8,-1.03,4.83,1.02
53,20100223,2.68,3.32,2.13,1.19,2.06
54,20100224,2.98,4.1,1.77,2.33,2.21
55,20100225,1.16,2.03,-1.88,3.91,-0.12
56,20100226,-0.44,1.01,-2.26,3.27,-1.67
57,20100227,0.1,2.37,-2.85,5.22,-2.2
58,20100228,1.34,3.13,0.03,3.1,-1.43
59,20100301,2.65,5.32,0.66,4.66,0.77
60,20100302,3.08,5.71,0.79,4.92,2.18
61,20100303,2.66,3.96,1.54,2.42,1.83
62,20100304,3.4,5.97,1.59,4.38,3.1
63,20100305,2.57,4.83,0.77,4.06,1.38
64,20100306,2.93,7.54,-1.08,8.62,2.31
65,20100307,4.61,9.4,0.63,8.77,4.28
66,20100308,5.42,10.26,1.08,9.18,5.38
67,20100309,6.87,11.05,2.5,8.55,6.28
68,20100310,5.26,7.29,2.98,4.31,4.98
69,20100311,5.88,7.45,4.63,2.82,6.82
70,20100312,5.38,6.5,4.74,1.76,5.79
71,20100313,6.47,7.69,4.99,2.7,6.85
72,20100314,6.36,7.83,4.66,3.17,7.68
73,20100315,5.17,6.31,4.57,1.74,5.24
74,20100316,7.32,10.86,4.51,6.35,7.28
75,20100317,7.1,11.46,2.64,8.82,7.64
76,20100318,8.34,12.6,4.35,8.25,8.75
77,20100319,9.18,13.4,4.9,8.5,10.03
78,20100320,9.3,13.97,5.76,8.21,10.98
79,20100321,7.76,10.08,5.76,4.32,9.74
80,20100322,8.5,10.2,6.75,3.45,10.56
81,20100323,8.11,9.02,6.77,2.25,9.67
82,20100324,7.39,10.86,4.66,6.2,7.52
83,20100325,8.19,10.02,5.84,4.18,7.79
84,20100326,4.94,9.21,0.78,8.43,4.37
85,20100327,0.97,3.01,-1.15,4.16,1.45
86,20100328,5.61,8.37,1.55,6.82,5.01
87,20100329,8.83,9.54,8.09,1.45,9.51
88,20100330,7.06,7.96,6.15,1.81,7.43
89,20100331,8.28,10.65,6.16,4.49,9.1
90,20100401,8.79,13.0,5.86,7.14,11.15
91,20100402,8.6,11.5,6.8,4.7,10.92
92,20100403,7.6,9.05,6.39,2.66,9.65
93,20100404,12.3,18.27,7.59,10.68,14.08
94,20100405,10.95,13.03,8.34,4.69,12.51
95,20100406,13.44,16.43,10.05,6.38,15.64
96,20100407,16.52,20.69,13.05,7.64,19.35
97,20100408,14.31,17.06,12.06,5.0,17.2
98,20100409,11.11,12.93,7.24,5.69,12.32
99,20100410,8.31,12.17,4.62,7.55,8.36
100,20100411,11.62,16.71,7.1,9.61,12.79
101,20100412,10.96,13.92,8.15,5.77,12.18
102,20100413,8.76,10.12,7.24,2.88,8.8
103,20100414,10.13,14.6,6.07,8.53,11.39
104,20100415,11.82,16.98,7.64,9.34,13.32
105,20100416,9.33,10.79,8.63,2.16,11.55
106,20100417,9.3,11.4,6.71,4.69,9.97
107,20100418,8.3,11.38,5.21,6.17,8.62
108,20100419,9.68,12.66,5.68,6.98,10.0
109,20100420,11.03,14.79,6.8,7.99,12.56
110,20100421,11.26,13.62,8.93,4.69,12.55
111,20100422,12.24,15.56,8.86,6.7,14.12
112,20100423,10.95,14.9,6.91,7.99,11.55
113,20100424,10.71,14.28,6.48,7.8,12.09
114,20100425,9.99,10.77,9.15,1.62,9.94
115,20100426,10.23,11.57,8.81,2.76,11.11
116,20100427,9.76,12.82,5.26,7.56,10.36
117,20100428,8.35,11.82,4.41,7.41,7.8
118,20100429,10.78,15.38,5.88,9.5,10.39
119,20100430,13.69,17.71,9.49,8.22,15.04
120,20100501,15.62,21.17,11.85,9.32,18.9
121,20100502,17.22,21.12,13.85,7.27,20.87
122,20100503,17.73,20.28,16.15,4.13,21.09
123,20100504,16.64,19.83,13.47,6.36,19.0
124,20100505,14.92,18.74,11.93,6.81,16.78
125,20100506,16.46,20.06,13.05,7.01,18.13
126,20100507,13.72,16.88,10.49,6.39,15.48
